category,fin goal type,total amount,month plan payment,currency,start date,end date,payments number,plan for today,Column1,invest_bucket,мультивалютний
Fund market,invest_bucket,0,0,USD,,,0,0,,,мультивалютний
Business,invest_bucket,0,0,USD,,,0,0,,3-short-period goals,
Cash,invest_bucket,0,1200,USD,,,0,0,,,
Daughter,saving_bucket,0,0,USD,,,0,0,,,
Son,saving_bucket,0,0,USD,,,0,0,,,
Backup fund,invest_bucket,0,0,USD,,,0,0,,,
Vacation,saving_bucket,3000,250,USD,,,,0,,,
Dad,saving_bucket,0,0,USD,,,0,0,,,
,,,,,,,,,,,
Mom,saving_bucket,0,0,USD,,,0,0,,,
Assurance1,short_term_goal,1210,101,PLN,01.04.2023,01.04.2024,12,1008,,,
Car checkup,short_term_goal,1800,150,PLN,01.04.2023,01.04.2024,12,1500,,,
Presents,short_term_goal,6000,2000,PLN,,,0,0,,,
,,,,,,,,,,,
Assurance2,short_term_goal,3800,317,PLN,01.09.2023,01.09.2024,12,1583,,,
Purchases,saving_bucket,0,0,UAH,,,0,0,,,
Donation,saving_bucket,0,0,UAH,,,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
